subset,period_split,group_type,group_field,group_value,variant,window,sample_count,available_count,mean_return_pct,median_return_pct,std_pct,monthly_t,sharpe_monthly,win_rate_pct
all,all,technical_flag,has_l4_overheat,False,t1_net,5,332,332,0.7508144482547535,0.4464647720608218,8.003849154984927,0.9539361520430495,0.19890943779111706,52.40963855421686
all,all,technical_flag,has_l4_overheat,True,t1_net,5,28,17,-2.767303282479845,-1.1240666082383786,8.166179572731666,-0.465192389235602,-0.20804036098926948,47.05882352941176
all,all,technical_flag,has_l4_overheat,False,t1_net,10,332,332,0.9625941379193301,0.6556725293995803,9.743835895576803,1.0351709970126457,0.2158480738909697,53.915662650602414
all,all,technical_flag,has_l4_overheat,True,t1_net,10,28,17,-4.027404608949982,-2.6139877300613468,7.402293699573195,-1.0806152439079868,-0.4832658285801548,23.52941176470588
all,all,technical_flag,has_l4_overheat,False,t1_net,20,332,332,2.339842963312455,0.044541260328627846,12.858103086261742,1.4977017073498904,0.31229239394034286,50.0
all,all,technical_flag,has_l4_overheat,True,t1_net,20,28,17,-5.315576751866332,-5.035674025090837,6.086175332610679,-1.687796020637471,-0.7548053268598046,23.52941176470588
all,all,technical_flag,has_l4_breakout,False,t1_net,5,344,336,0.6106450014383581,0.4464647720608218,7.682201117734262,0.20207043415291434,0.04124745464810895,52.38095238095239
all,all,technical_flag,has_l4_breakout,True,t1_net,5,16,13,-0.22695995883595727,-2.4003258655804505,14.9786615952322,0.2960108258981776,0.09360684219057987,46.15384615384615
all,all,technical_flag,has_l4_breakout,False,t1_net,10,344,336,0.826331169001004,0.5015347292203255,9.581712621523153,0.3358841977401699,0.06856207476062524,52.67857142857143
all,all,technical_flag,has_l4_breakout,True,t1_net,10,16,13,-2.04091518055918,-1.5856619144602966,12.404026126786384,-0.0795303555432085,-0.025149706663953664,46.15384615384615
all,all,technical_flag,has_l4_breakout,False,t1_net,20,344,336,2.0058188164041537,-0.4805128205128194,12.573794801101489,0.9187065259087277,0.1875301843201164,48.51190476190476
all,all,technical_flag,has_l4_breakout,True,t1_net,20,16,13,0.9621489789393624,1.118772378516635,16.55216094330757,0.8004138851707093,0.25311309479639127,53.84615384615385
all,all,technical_flag,has_l4_lock,False,t1_net,5,354,348,0.6027547177430014,0.4464647720608218,8.035502104015025,0.13879468240752454,0.028331345909173352,52.29885057471264
all,all,technical_flag,has_l4_lock,True,t1_net,5,6,1,-7.532400756143661,-7.532400756143661,,,,0.0
all,all,technical_flag,has_l4_lock,False,t1_net,10,354,348,0.7725738956945926,0.5015347292203255,9.657469873507806,0.3780943618233199,0.07717818842419781,52.58620689655172
all,all,technical_flag,has_l4_lock,True,t1_net,10,6,1,-17.740340264650275,-17.740340264650275,,,,0.0
all,all,technical_flag,has_l4_lock,False,t1_net,20,354,348,1.9909805870494424,-0.42866787000897066,12.725742641529036,1.041444405957907,0.21258394917273452,48.85057471264368
all,all,technical_flag,has_l4_lock,True,t1_net,20,6,1,-6.398185255198481,-6.398185255198481,,,,0.0
all,all,score,final_score_bucket,lt_70,t1_net,5,111,111,-0.23543108276615812,-0.8146839661945137,7.346860626744528,0.010548062047105716,0.0029255060436627163,41.44144144144144
all,all,score,final_score_bucket,70_80,t1_net,5,192,187,0.7373032885826882,0.7107009142359778,8.460130820543165,0.3486408398113765,0.07116601341944,55.080213903743314
all,all,score,final_score_bucket,80_90,t1_net,5,56,50,2.1808044499085897,1.192413188672963,7.352114002256982,0.8914968676569186,0.21621975001510377,66.0
all,all,score,final_score_bucket,90_plus,t1_net,5,1,1,-18.556846254927734,-18.556846254927734,,,,0.0
all,all,score,final_score_bucket,lt_70,t1_net,10,111,111,0.7573142425311703,-1.452517006802729,10.56237838050932,0.5167631568223788,0.14332431224567121,45.04504504504504
all,all,score,final_score_bucket,70_80,t1_net,10,192,187,0.29639691041866995,0.7553318077803174,9.366642897533186,0.16070384859585743,0.03280353573011113,55.61497326203209
all,all,score,final_score_bucket,80_90,t1_net,10,56,50,2.4486232377347856,1.195188597799295,8.804957753991848,0.9371723650117707,0.2272976853149082,57.99999999999999
all,all,score,final_score_bucket,90_plus,t1_net,10,1,1,-10.803889618922486,-10.803889618922486,,,,0.0
all,all,score,final_score_bucket,lt_70,t1_net,20,111,111,1.4951167292600653,-1.3164625850340126,13.21922101513568,0.7436446386890313,0.20624991350132266,45.94594594594595
all,all,score,final_score_bucket,70_80,t1_net,20,192,187,2.1358040158267997,-0.22811989100817817,12.61961127280922,0.7093264390849189,0.1447906530686188,49.19786096256685
all,all,score,final_score_bucket,80_90,t1_net,20,56,50,2.5515448255015074,1.1342604152740179,12.208264476314413,0.9143005365967978,0.221750452114559,54.0
all,all,score,final_score_bucket,90_plus,t1_net,20,1,1,-6.467490144546657,-6.467490144546657,,,,0.0
