strategy_variant,subset,period_split,trade_date,window,variant,holding_count,return_pct,win_rate_pct
no_lock,all,discovery,20241129,5,excess_csi1000,15,1.2847120552691582,53.333333333333336
no_lock,all,discovery,20241231,5,excess_csi1000,15,0.9817663874326776,53.333333333333336
no_lock,all,discovery,20240131,5,excess_eligible,15,-2.12795913289035,60.0
no_lock,all,discovery,20240229,5,excess_eligible,15,0.699845026032061,40.0
no_lock,all,discovery,20240329,5,excess_eligible,15,0.868452623220356,60.0
no_lock,all,discovery,20240430,5,excess_eligible,15,-1.1243148974726869,26.666666666666668
no_lock,all,discovery,20240531,5,excess_eligible,15,0.34087290804327197,66.66666666666666
no_lock,all,discovery,20240628,5,excess_eligible,15,0.6788837112923017,60.0
no_lock,all,discovery,20240731,5,excess_eligible,15,-1.9774178698251026,40.0
no_lock,all,discovery,20240830,5,excess_eligible,15,-0.7441482871074118,40.0
no_lock,all,discovery,20240930,5,excess_eligible,4,-2.4493811333113706,25.0
no_lock,all,discovery,20241031,5,excess_eligible,14,6.717134959084374,78.57142857142857
no_lock,all,discovery,20241129,5,excess_eligible,15,-0.7595540286974962,33.33333333333333
no_lock,all,discovery,20241231,5,excess_eligible,15,0.2306717084877043,53.333333333333336
no_lock,all,discovery,20240131,10,close,15,1.3791752602719929,66.66666666666666
no_lock,all,discovery,20240229,10,close,15,3.6132209178111827,73.33333333333333
no_lock,all,discovery,20240329,10,close,15,-8.592060336283874,20.0
no_lock,all,discovery,20240430,10,close,15,1.792195902321866,66.66666666666666
no_lock,all,discovery,20240531,10,close,15,-1.0597454152878107,46.666666666666664
no_lock,all,discovery,20240628,10,close,15,1.2215933262343248,66.66666666666666
no_lock,all,discovery,20240731,10,close,15,-5.258546392618088,6.666666666666667
no_lock,all,discovery,20240830,10,close,15,-5.180106762662273,26.666666666666668
no_lock,all,discovery,20240930,10,close,4,-3.3520541573809464,25.0
no_lock,all,discovery,20241031,10,close,14,8.941392556249394,64.28571428571429
no_lock,all,discovery,20241129,10,close,15,7.469249911008872,66.66666666666666
no_lock,all,discovery,20241231,10,close,15,-4.90574765614646,40.0
no_lock,all,discovery,20240131,10,t1,15,3.291935726860737,80.0
no_lock,all,discovery,20240229,10,t1,15,3.548466425484731,73.33333333333333
no_lock,all,discovery,20240329,10,t1,15,-8.758296824507568,20.0
no_lock,all,discovery,20240430,10,t1,15,0.5396050737035936,46.666666666666664
no_lock,all,discovery,20240531,10,t1,15,-1.1987600503211495,53.333333333333336
no_lock,all,discovery,20240628,10,t1,15,1.3842703240713423,66.66666666666666
no_lock,all,discovery,20240731,10,t1,15,-5.415252868426775,6.666666666666667
no_lock,all,discovery,20240830,10,t1,15,-4.885485530612169,20.0
no_lock,all,discovery,20240930,10,t1,4,-11.588127982323183,0.0
no_lock,all,discovery,20241031,10,t1,14,8.690937351587591,64.28571428571429
no_lock,all,discovery,20241129,10,t1,15,6.919499664528542,66.66666666666666
no_lock,all,discovery,20241231,10,t1,15,-4.528667253923529,40.0
no_lock,all,discovery,20240131,10,t1_net,15,3.131935726860737,80.0
no_lock,all,discovery,20240229,10,t1_net,15,3.3884664254847316,73.33333333333333
no_lock,all,discovery,20240329,10,t1_net,15,-8.918296824507568,20.0
no_lock,all,discovery,20240430,10,t1_net,15,0.3796050737035935,46.666666666666664
no_lock,all,discovery,20240531,10,t1_net,15,-1.3587600503211494,53.333333333333336
no_lock,all,discovery,20240628,10,t1_net,15,1.2242703240713424,66.66666666666666
no_lock,all,discovery,20240731,10,t1_net,15,-5.575252868426776,6.666666666666667
no_lock,all,discovery,20240830,10,t1_net,15,-5.0454855306121695,20.0
no_lock,all,discovery,20240930,10,t1_net,4,-11.748127982323183,0.0
no_lock,all,discovery,20241031,10,t1_net,14,8.530937351587594,64.28571428571429
no_lock,all,discovery,20241129,10,t1_net,15,6.7594996645285415,66.66666666666666
no_lock,all,discovery,20241231,10,t1_net,15,-4.688667253923529,40.0
no_lock,all,discovery,20240131,10,excess_csi300,15,-5.066919632084025,6.666666666666667
no_lock,all,discovery,20240229,10,excess_csi300,15,2.8582331231178704,66.66666666666666
no_lock,all,discovery,20240329,10,excess_csi300,15,-6.407342756885899,26.666666666666668
no_lock,all,discovery,20240430,10,excess_csi300,15,-0.009699937042132945,40.0
no_lock,all,discovery,20240531,10,excess_csi300,15,0.2655304378136736,60.0
no_lock,all,discovery,20240628,10,excess_csi300,15,1.5504864345706488,66.66666666666666
no_lock,all,discovery,20240731,10,excess_csi300,15,-2.1973786026412387,26.666666666666668
no_lock,all,discovery,20240830,10,excess_csi300,15,-1.6461702572486174,26.666666666666668
no_lock,all,discovery,20240930,10,excess_csi300,4,-4.0483829925365376,25.0
no_lock,all,discovery,20241031,10,excess_csi300,14,4.845229914019723,57.14285714285714
no_lock,all,discovery,20241129,10,excess_csi300,15,7.285572287305943,66.66666666666666
no_lock,all,discovery,20241231,10,excess_csi300,15,-3.8907960724290094,40.0
no_lock,all,discovery,20240131,10,excess_csi1000,15,-5.151283653121843,6.666666666666667
no_lock,all,discovery,20240229,10,excess_csi1000,15,1.9803870057119146,53.333333333333336
no_lock,all,discovery,20240329,10,excess_csi1000,15,0.09924709252855811,46.666666666666664
no_lock,all,discovery,20240430,10,excess_csi1000,15,1.3174155258483493,60.0
no_lock,all,discovery,20240531,10,excess_csi1000,15,0.7059318940587611,60.0
no_lock,all,discovery,20240628,10,excess_csi1000,15,2.6438753345170616,66.66666666666666
no_lock,all,discovery,20240731,10,excess_csi1000,15,-0.7207667483957592,40.0
no_lock,all,discovery,20240830,10,excess_csi1000,15,-2.252790147067344,26.666666666666668
no_lock,all,discovery,20240930,10,excess_csi1000,4,-6.083208541526053,25.0
no_lock,all,discovery,20241031,10,excess_csi1000,14,2.924565888104015,57.14285714285714
no_lock,all,discovery,20241129,10,excess_csi1000,15,6.2640804182551255,66.66666666666666
no_lock,all,discovery,20241231,10,excess_csi1000,15,-4.15747923179725,40.0
no_lock,all,discovery,20240131,10,excess_eligible,15,-2.689210089724226,26.666666666666668
no_lock,all,discovery,20240229,10,excess_eligible,15,1.2257793644895254,40.0
no_lock,all,discovery,20240329,10,excess_eligible,15,0.3889746001976129,53.333333333333336
no_lock,all,discovery,20240430,10,excess_eligible,15,-1.7349132983679474,33.33333333333333
no_lock,all,discovery,20240531,10,excess_eligible,15,2.300698390353777,60.0
no_lock,all,discovery,20240628,10,excess_eligible,15,1.7554220014513224,66.66666666666666
no_lock,all,discovery,20240731,10,excess_eligible,15,0.04793182753696333,46.666666666666664
no_lock,all,discovery,20240830,10,excess_eligible,15,-0.09134773115298689,33.33333333333333
no_lock,all,discovery,20240930,10,excess_eligible,4,0.210540433367147,50.0
no_lock,all,discovery,20241031,10,excess_eligible,14,8.114784386243981,57.14285714285714
no_lock,all,discovery,20241129,10,excess_eligible,15,1.0148176401010358,46.666666666666664
no_lock,all,discovery,20241231,10,excess_eligible,15,-5.590879933744524,33.33333333333333
no_lock,all,discovery,20240131,20,close,15,6.427500378226367,66.66666666666666
no_lock,all,discovery,20240229,20,close,15,6.280946581958133,53.333333333333336
