strategy_variant,subset,period_split,trade_date,window,variant,sample_count,available_count,mean_return_pct,median_return_pct,std_pct,win_rate_pct
no_lock,tier1_only,all,20250829,5,close,15,15,0.6000041517049938,-1.1904761904761973,8.832433139532908,46.666666666666664
no_lock,tier1_only,all,20250829,5,t1,15,15,0.2774168557611096,-2.1226415094339757,8.924369743640996,46.666666666666664
no_lock,tier1_only,all,20250829,5,t1_net,15,15,0.1174168557611092,-2.282641509433976,8.924369743640996,46.666666666666664
no_lock,tier1_only,all,20250829,5,excess_csi300,15,15,1.6786159730080301,-0.721442392187055,8.924369743640998,46.666666666666664
no_lock,tier1_only,all,20250829,5,excess_csi1000,15,15,3.6833127237310754,1.2832543585359901,8.924369743640998,66.66666666666666
no_lock,tier1_only,all,20250829,5,excess_eligible,15,15,2.6846352422854034,0.28457687709031854,8.924369743640998,60.0
no_lock,tier1_only,all,20250829,10,close,15,15,0.573960950844296,0.7168458781362075,7.18513697326088,53.333333333333336
no_lock,tier1_only,all,20250829,10,t1,15,15,0.2557021112508671,-0.9367681498828717,7.347733033806143,46.666666666666664
no_lock,tier1_only,all,20250829,10,t1_net,15,15,0.09570211125086699,-1.0967681498828716,7.347733033806143,40.0
no_lock,tier1_only,all,20250829,10,excess_csi300,15,15,0.29357146148414415,-0.8988987996495945,7.347733033806143,46.666666666666664
no_lock,tier1_only,all,20250829,10,excess_csi1000,15,15,1.299061032710936,0.10659077157719743,7.347733033806143,53.333333333333336
no_lock,tier1_only,all,20250829,10,excess_eligible,15,15,-0.2786151281441408,-1.4710853892778792,7.347733033806143,40.0
no_lock,tier1_only,all,20250829,20,close,15,15,-3.452120805904394,-4.939759036144564,9.393914310575605,26.666666666666668
no_lock,tier1_only,all,20250829,20,t1,15,15,-3.7747048839902466,-5.282112845138032,9.322366744484352,20.0
no_lock,tier1_only,all,20250829,20,t1_net,15,15,-3.9347048839902485,-5.442112845138032,9.322366744484352,20.0
no_lock,tier1_only,all,20250829,20,excess_csi300,15,15,-4.3569171300375125,-5.864325091185297,9.322366744484352,20.0
no_lock,tier1_only,all,20250829,20,excess_csi1000,15,15,-2.394130925733755,-3.9015388868815397,9.322366744484352,33.33333333333333
no_lock,tier1_only,all,20250829,20,excess_eligible,15,15,-3.668328295269608,-5.175736256417393,9.322366744484352,20.0
no_lock,tier1_only,all,20250930,5,close,15,15,-1.125828553507456,-4.333605887162739,10.982016397211343,33.33333333333333
no_lock,tier1_only,all,20250930,5,t1,15,15,-2.6287163816769006,-6.174819566960721,8.392216229754103,13.333333333333334
no_lock,tier1_only,all,20250930,5,t1_net,15,15,-2.7887163816769003,-6.3348195669607215,8.392216229754103,13.333333333333334
no_lock,tier1_only,all,20250930,5,excess_csi300,15,15,-0.4375178592067055,-3.9836210444905267,8.392216229754103,40.0
no_lock,tier1_only,all,20250930,5,excess_csi1000,15,15,-0.4764912981742544,-4.022594483458075,8.392216229754103,40.0
no_lock,tier1_only,all,20250930,5,excess_eligible,15,15,-0.8850133020948135,-4.431116487378635,8.392216229754103,40.0
no_lock,tier1_only,all,20250930,10,close,15,15,-4.820909683031528,-7.578558225508325,11.11620140513448,20.0
no_lock,tier1_only,all,20250930,10,t1,15,15,-6.2673850927828125,-9.27773465618602,8.726389518657413,20.0
no_lock,tier1_only,all,20250930,10,t1_net,15,15,-6.427385092782812,-9.43773465618602,8.726389518657411,20.0
no_lock,tier1_only,all,20250930,10,excess_csi300,15,15,-3.7849040046291567,-6.795253568032366,8.726389518657411,26.666666666666668
no_lock,tier1_only,all,20250930,10,excess_csi1000,15,15,-1.8761716592658837,-4.886521222669092,8.726389518657411,33.33333333333333
no_lock,tier1_only,all,20250930,10,excess_eligible,15,15,-2.0863142556927112,-5.09666381909592,8.726389518657411,33.33333333333333
no_lock,tier1_only,all,20250930,20,close,15,15,-1.3346599892444582,-4.835359388710147,15.12486508071414,40.0
no_lock,tier1_only,all,20250930,20,t1,15,15,-2.8649560801453613,-5.417406120277668,12.951607271731891,40.0
no_lock,tier1_only,all,20250930,20,t1_net,15,15,-3.0249560801453614,-5.577406120277669,12.951607271731891,40.0
no_lock,tier1_only,all,20250930,20,excess_csi300,15,15,-1.1190103476847535,-3.671460387817061,12.951607271731891,40.0
no_lock,tier1_only,all,20250930,20,excess_csi1000,15,15,-0.46971749109961664,-3.0221675312319234,12.951607271731891,40.0
no_lock,tier1_only,all,20250930,20,excess_eligible,15,15,-2.4230855476038093,-4.975535587736116,12.951607271731891,40.0
no_lock,tier1_only,all,20251031,5,close,9,9,0.17391539551091276,1.3354281225451903,2.7718955248035355,55.55555555555556
no_lock,tier1_only,all,20251031,5,t1,9,9,0.21222858354316645,1.2269938650306678,2.7405507685782973,55.55555555555556
no_lock,tier1_only,all,20251031,5,t1_net,9,9,0.05222858354316637,1.0669938650306678,2.7405507685782973,55.55555555555556
no_lock,tier1_only,all,20251031,5,excess_csi300,9,9,-0.3334280271418083,0.681337254345693,2.7405507685782973,55.55555555555556
no_lock,tier1_only,all,20251031,5,excess_csi1000,9,9,0.1623461049223113,1.1771113864098126,2.7405507685782973,55.55555555555556
no_lock,tier1_only,all,20251031,5,excess_eligible,9,9,-2.94517375197301,-1.9304084704855087,2.740550768578297,22.22222222222222
no_lock,tier1_only,all,20251031,10,close,9,9,-1.9765977176338296,-2.583025830258323,7.111286723424554,22.22222222222222
no_lock,tier1_only,all,20251031,10,t1,9,9,-1.9375520796805654,-2.822085889570558,7.145932982582899,22.22222222222222
no_lock,tier1_only,all,20251031,10,t1_net,9,9,-2.0975520796805656,-2.982085889570558,7.145932982582899,22.22222222222222
no_lock,tier1_only,all,20251031,10,excess_csi300,9,9,-1.394659038055196,-2.2791928479451884,7.145932982582899,22.22222222222222
